epoch,batch,total_loss,recon_loss,kl_loss,class_loss,class_acc
1,1,4.26953125,4.26953125,7.367134094238281e-05,0.0
1,2,8.765625,8.765625,7.367134094238281e-05,0.0
1,3,2.205078125,2.205078125,7.367134094238281e-05,0.0
1,4,7.0390625,7.0390625,7.367134094238281e-05,0.0
1,5,2.61328125,2.61328125,7.367134094238281e-05,0.0
1,6,3.234375,3.234375,7.367134094238281e-05,0.0
1,7,12.015625,12.015625,7.367134094238281e-05,0.0
1,8,6.44921875,6.44921875,7.367134094238281e-05,0.0
1,9,5.546875,5.546875,7.367134094238281e-05,0.0
1,10,3.19921875,3.19921875,7.367134094238281e-05,0.0
1,11,6.07421875,6.07421875,7.367134094238281e-05,0.0
1,12,4.12890625,4.12890625,7.367134094238281e-05,0.0
1,13,7.3828125,7.3828125,7.367134094238281e-05,0.0
1,14,1.4775390625,1.4775390625,7.367134094238281e-05,0.0
1,15,6.5390625,6.5390625,7.367134094238281e-05,0.0
1,16,3.94140625,3.94140625,7.367134094238281e-05,0.0
1,17,4.42578125,4.42578125,7.367134094238281e-05,0.0
1,18,6.32421875,6.32421875,7.367134094238281e-05,0.0
1,19,4.625,4.625,7.367134094238281e-05,0.0
1,20,5.8984375,5.8984375,7.367134094238281e-05,0.0
1,21,8.7890625,8.7890625,7.367134094238281e-05,0.0
1,22,5.2734375,5.2734375,7.367134094238281e-05,0.0
1,23,4.95703125,4.95703125,7.367134094238281e-05,0.0
1,24,5.7890625,5.7890625,7.367134094238281e-05,0.0
1,25,nan,3.005859375,nan,0.0
1,26,nan,2.580078125,nan,0.0
1,27,nan,5.76171875,nan,0.0
1,28,nan,6.73828125,nan,0.0
1,29,nan,9.328125,nan,0.0
1,30,nan,1.5869140625,nan,0.0
1,31,nan,3.69140625,nan,0.0
1,32,nan,8.640625,nan,0.0
1,33,nan,2.056640625,nan,0.0
1,34,nan,2.515625,nan,0.0
1,35,nan,3.7265625,nan,0.0
1,36,nan,2.716796875,nan,0.0
1,37,nan,8.1484375,nan,0.0
1,38,nan,5.76171875,nan,0.0
1,39,nan,5.10546875,nan,0.0
1,40,nan,14.6953125,nan,0.0
1,41,nan,2.78125,nan,0.0
1,42,nan,3.4296875,nan,0.0
1,43,nan,2.849609375,nan,0.0
1,44,nan,2.7109375,nan,0.0
1,45,nan,3.796875,nan,0.0
1,46,nan,3.78515625,nan,0.0
1,47,nan,3.00390625,nan,0.0
1,48,nan,11.2734375,nan,0.0
1,49,nan,6.25390625,nan,0.0
1,50,nan,3.5390625,nan,0.0
1,51,nan,8.765625,nan,0.0
1,52,nan,4.296875,nan,0.0
1,53,nan,1.6689453125,nan,0.0
1,54,nan,5.98828125,nan,0.0
1,55,nan,5.89453125,nan,0.0
1,56,nan,2.517578125,nan,0.0
1,57,nan,4.19140625,nan,0.0
1,58,nan,6.86328125,nan,0.0
1,59,nan,1.9443359375,nan,0.0
1,60,nan,1.5556640625,nan,0.0
1,61,nan,5.0,nan,0.0
1,62,nan,9.359375,nan,0.0
1,63,nan,3.59375,nan,0.0
1,64,nan,8.5703125,nan,0.0
1,65,nan,5.7109375,nan,0.0
1,66,nan,7.92578125,nan,0.0
1,67,nan,3.130859375,nan,0.0
1,68,nan,2.71875,nan,0.0
1,69,nan,10.984375,nan,0.0
1,70,nan,3.654296875,nan,0.0
1,71,nan,2.6875,nan,0.0
1,72,nan,2.11328125,nan,0.0
1,73,nan,4.328125,nan,0.0
1,74,nan,7.24609375,nan,0.0
1,75,nan,4.828125,nan,0.0
1,76,nan,3.587890625,nan,0.0
1,77,nan,9.0078125,nan,0.0
1,78,nan,4.59375,nan,0.0
1,79,nan,3.171875,nan,0.0
1,80,nan,1.94140625,nan,0.0
1,81,nan,6.16796875,nan,0.0
1,82,nan,4.66796875,nan,0.0
1,83,nan,3.111328125,nan,0.0
1,84,nan,6.41015625,nan,0.0
1,85,nan,7.05078125,nan,0.0
1,86,nan,2.451171875,nan,0.0
1,87,nan,2.234375,nan,0.0
1,88,nan,3.9609375,nan,0.0
1,89,nan,3.224609375,nan,0.0
1,90,nan,4.8203125,nan,0.0
1,91,nan,4.02734375,nan,0.0
1,92,nan,1.7275390625,nan,0.0
1,93,nan,8.3984375,nan,0.0
1,94,nan,7.7421875,nan,0.0
1,95,nan,5.44921875,nan,0.0
1,96,nan,5.2578125,nan,0.0
1,97,nan,2.986328125,nan,0.0
1,98,nan,4.453125,nan,0.0
1,99,nan,2.09375,nan,0.0
1,100,nan,5.6484375,nan,0.0
1,101,nan,2.208984375,nan,0.0
1,102,nan,6.296875,nan,0.0
1,103,nan,2.806640625,nan,0.0
1,104,nan,2.619140625,nan,0.0
1,105,nan,4.2734375,nan,0.0
1,106,nan,2.384765625,nan,0.0
1,107,nan,9.1875,nan,0.0
1,108,nan,4.2734375,nan,0.0
1,109,nan,6.8046875,nan,0.0
1,110,nan,6.22265625,nan,0.0
1,111,nan,4.06640625,nan,0.0
1,112,nan,1.3017578125,nan,0.0
1,113,nan,3.2421875,nan,0.0
1,114,nan,3.310546875,nan,0.0
1,115,nan,13.0234375,nan,0.0
1,116,nan,1.5732421875,nan,0.0
1,117,nan,4.328125,nan,0.0
1,118,nan,5.890625,nan,0.0
1,119,nan,2.783203125,nan,0.0
1,120,nan,7.1171875,nan,0.0
1,121,nan,1.392578125,nan,0.0
1,122,nan,1.6982421875,nan,0.0
1,123,nan,5.6171875,nan,0.0
1,124,nan,3.671875,nan,0.0
1,125,nan,2.794921875,nan,0.0
1,126,nan,4.86328125,nan,0.0
1,127,nan,6.1328125,nan,0.0
1,128,nan,7.4765625,nan,0.0
1,129,nan,2.15625,nan,0.0
1,130,nan,4.80859375,nan,0.0
1,131,nan,2.84765625,nan,0.0
1,132,nan,5.86328125,nan,0.0
1,133,nan,10.0234375,nan,0.0
1,134,nan,1.369140625,nan,0.0
1,135,nan,4.28125,nan,0.0
1,136,nan,2.103515625,nan,0.0
1,137,nan,3.48828125,nan,0.0
1,138,nan,10.546875,nan,0.0
1,139,nan,4.75390625,nan,0.0
